계,컴퍼,회사,월,P,마지막,약대22,약대24,약대28,30,31,36,37,38,39,48,49,60,61
23-12,코보인터내셔날,S/SH,2000,48,24-12,25-09,25-11,26-03,26-05,26-06,26-11,26-12,27-01,27-02,27-11,27-12,28-11,28-12
24-01,시노트레이드(2월계약포함),S/SH,2001,48,25-01,25-10,25-12,26-04,26-06,26-07,26-12,27-01,27-02,27-03,27-12,28-01,28-12,29-01
24-02,에이치엠와이인터내셔널,S,1100,38,25-01,25-11,26-01,26-05,26-07,26-08,27-01,27-02,27-03,27-04,28-01,28-02,29-01,29-02
24-02,티씨소프트웨어,S,1000,38,25-03,25-11,26-01,26-05,26-07,26-08,27-01,27-02,27-03,27-04,28-01,28-02,29-01,29-02
24-02,파인에스앤비,SH,2003,48,25-02,25-11,26-01,26-05,26-07,26-08,27-01,27-02,27-03,27-04,28-01,28-02,29-01,29-02
24-02,누리에스티,S,500,38,25-02,25-11,26-01,26-05,26-07,26-08,27-01,27-02,27-03,27-04,28-01,28-02,29-01,29-02
24-02,은진에스티,S,500,38,25-02,25-11,26-01,26-05,26-07,26-08,27-01,27-02,27-03,27-04,28-01,28-02,29-01,29-02
24-02,컴스무역상사,S,1000,38,25-02,25-11,26-01,26-05,26-07,26-08,27-01,27-02,27-03,27-04,28-01,28-02,29-01,29-02
24-03,서진종합물류(프),SH,500,60,25-03,25-12,26-02,26-06,26-08,26-09,27-02,27-03,27-04,27-05,28-02,28-03,29-02,29-03
24-03,에스디라이프(프),SH,500,60,25-03,25-12,26-02,26-06,26-08,26-09,27-02,27-03,27-04,27-05,28-02,28-03,29-02,29-03
24-03,포뎁스(프),S,2001,38,25-03,25-12,26-02,26-06,26-08,26-09,27-02,27-03,27-04,27-05,28-02,28-03,29-02,29-03
24-03,인텍창호시스템,S,1000,38,25-03,25-12,26-02,26-06,26-08,26-09,27-02,27-03,27-04,27-05,28-02,28-03,29-02,29-03
24-03,엠오케이쉬핑코리아,S,2000,38,25-03,25-12,26-02,26-06,26-08,26-09,27-02,27-03,27-04,27-05,28-02,28-03,29-02,29-03
24-04,명문석재(프),S,1500,38,25-04,26-01,26-03,26-07,26-09,26-10,27-03,27-04,27-05,27-06,28-03,28-04,29-03,29-04
24-04,삼호에프앤비(프),S,1000,38,25-04,26-01,26-03,26-07,26-09,26-10,27-03,27-04,27-05,27-06,28-03,28-04,29-03,29-04
24-04,링크제니시스,K,1244,60,25-05,26-01,26-03,26-07,26-09,26-10,27-03,27-04,27-05,27-06,28-03,28-04,29-03,29-04
24-04,펜타라이프사이언스,S,4000,38,25-04,26-01,26-03,26-07,26-09,26-10,27-03,27-04,27-05,27-06,28-03,28-04,29-03,29-04
24-05,오거토탈(프),S,1000,38,25-05,26-02,26-04,26-08,26-10,26-11,27-04,27-05,27-06,27-07,28-04,28-05,29-04,29-05
24-05,신신강업(프),S,1500,38,25-05,26-02,26-04,26-08,26-10,26-11,27-04,27-05,27-06,27-07,28-04,28-05,29-04,29-05
24-05,웰인더스트리,K,1001,60,25-05,26-02,26-04,26-08,26-10,26-11,27-04,27-05,27-06,27-07,28-04,28-05,29-04,29-05
24-05,에이치엠와이인터내셔널,S,700,38,25-05,26-02,26-04,26-08,26-10,26-11,27-04,27-05,27-06,27-07,28-04,28-05,29-04,29-05
24-05,도건엔지니어링,S,2001,38,25-05,26-02,26-04,26-08,26-10,26-11,27-04,27-05,27-06,27-07,28-04,28-05,29-04,29-05
24-05,토탈에스에이,S,1000,38,25-05,26-02,26-04,26-08,26-10,26-11,27-04,27-05,27-06,27-07,28-04,28-05,29-04,29-05
24-05,동강이엔지,S,2000,38,25-05,26-02,26-04,26-08,26-10,26-11,27-04,27-05,27-06,27-07,28-04,28-05,29-04,29-05
